"","name","country","birthday","starting_number","speed","distance","distance_points","mark_A","mark_B","mark_C","mark_D","mark_E","style_points","gate","gate_points","wind_speed","wind_points","total_points","rank","series_number","total_points_all_jumps","competition_code","hill_code","year","competition_number","k","hs","full_name"
"1386","GEIGER Karl","GER","11 FEB 1993","40","88.7","134.0","85.2","18.0","18.5","18.5","18.5","18.0","55.0","13","","-0.17","3.0","143.2","13.","1","293.9","23","ruk","2023","1",120,142,"Ruka"
"1387","GEIGER Karl","GER","11 FEB 1993","40","88.2","138.0","92.4","18.0","18.5","18.5","18.5","18.5","55.5","12","5.3","0.21","-2.5","150.7","11.","2","293.9","23","ruk","2023","1",120,142,"Ruka"
"1388","HAMANN Martin","GER","10 APR 1997","4","88.5","139.5","95.1","18.0","18.0","18.5","18.5","18.5","55.0","13","","-0.31","5.4","155.5","3.","1","292.6","23","ruk","2023","1",120,142,"Ruka"
"1389","HAMANN Martin","GER","10 APR 1997","4","87.9","129.0","76.2","18.0","18.0","17.5","18.0","18.0","54.0","12","5.3","-0.09","1.6","137.1","19.","2","292.6","23","ruk","2023","1",120,142,"Ruka"
"1390","PREVC Peter","SLO","20 SEP 1992","31","88.4","133.5","84.3","18.0","18.5","18.0","18.5","18.5","55.0","13","","-0.18","3.2","142.5","16.","1","290.3","23","ruk","2023","1",120,142,"Ruka"
"1391","PREVC Peter","SLO","20 SEP 1992","31","88.3","139.0","94.2","18.5","18.5","18.5","18.5","18.0","55.5","13","","0.16","-1.9","147.8","13.","2","290.3","23","ruk","2023","1",120,142,"Ruka"
"1392","DESCHWANDEN Gregor","SUI","27 FEB 1991","30","88.7","131.5","80.7","18.0","18.0","17.5","17.5","18.5","53.5","13","","-0.30","5.3","139.5","19.","1","290.2","23","ruk","2023","1",120,142,"Ruka"
"1393","DESCHWANDEN Gregor","SUI","27 FEB 1991","30","88.5","143.5","102.3","17.5","17.0","18.0","18.0","16.5","52.5","13","","0.35","-4.1","150.7","11.","2","290.2","23","ruk","2023","1",120,142,"Ruka"
"1394","LANISEK Anze","SLO","20 APR 1996","48","88.3","136.0","88.8","17.0","19.0","18.5","18.5","18.5","55.5","13","","0.00","0.0","144.3","11.","1","284.3","23","ruk","2023","1",120,142,"Ruka"
"1395","LANISEK Anze","SLO","20 APR 1996","48","87.9","132.5","82.5","18.0","18.5","17.5","18.0","18.0","54.0","12","5.3","0.15","-1.8","140.0","16.","2","284.3","23","ruk","2023","1",120,142,"Ruka"
"1396","GRANERUD Halvor","NOR","29 MAY 1996","50","87.8","135.5","87.9","18.0","18.5","17.5","19.0","18.5","55.0","13","","-0.08","1.4","144.3","11.","1","282.6","23","ruk","2023","1",120,142,"Ruka"
"1397","GRANERUD Halvor","NOR","29 MAY 1996","50","87.4","131.0","79.8","18.5","18.0","18.0","18.5","18.0","54.5","12","5.3","0.11","-1.3","138.3","17.","2","282.6","23","ruk","2023","1",120,142,"Ruka"
"1398","PREVC Domen","SLO","4 JUN 1999","34","88.2","133.0","83.4","18.0","18.5","17.0","18.5","18.0","54.5","13","","0.02","-0.2","137.7","21.","1","282.0","23","ruk","2023","1",120,142,"Ruka"
"1399","PREVC Domen","SLO","4 JUN 1999","34","88.2","139.0","94.2","18.5","18.0","19.0","18.0","18.0","54.5","13","","0.38","-4.4","144.3","14.","2","282.0","23","ruk","2023","1",120,142,"Ruka"
"1400","AALTO Antti","FIN","2 APR 1995","20","88.4","135.5","87.9","18.0","18.0","18.0","18.5","18.5","54.5","13","","0.07","-0.8","141.6","18.","1","276.9","23","ruk","2023","1",120,142,"Ruka"
"1401","AALTO Antti","FIN","2 APR 1995","20","88.2","133.5","84.3","18.0","18.0","18.0","18.5","18.0","54.0","13","","0.26","-3.0","135.3","21.","2","276.9","23","ruk","2023","1",120,142,"Ruka"
"1402","AIGNER Clemens","AUT","2 FEB 1993","27","88.5","127.0","72.6","17.5","17.5","17.5","18.0","18.5","53.0","13","","-0.12","2.1","127.7","28.","1","272.0","23","ruk","2023","1",120,142,"Ruka"
"1403","AIGNER Clemens","AUT","2 FEB 1993","27","88.3","136.0","88.8","18.0","18.5","18.5","18.5","18.0","55.0","13","","-0.03","0.5","144.3","14.","2","272.0","23","ruk","2023","1",120,142,"Ruka"
"1404","KYTOSAHO Niko","FIN","18 DEC 1999","21","88.1","134.0","85.2","18.0","18.0","18.0","18.5","18.0","54.0","13","","0.10","-1.2","138.0","20.","1","272.0","23","ruk","2023","1",120,142,"Ruka"
"1405","KYTOSAHO Niko","FIN","18 DEC 1999","21","87.8","132.5","82.5","18.0","18.0","18.0","18.0","18.0","54.0","13","","0.21","-2.5","134.0","23.","2","272.0","23","ruk","2023","1",120,142,"Ruka"
"1406","KUBACKI Dawid","POL","12 MAR 1990","47","88.4","130.0","78.0","18.0","18.5","18.0","19.0","18.5","55.0","13","","0.03","-0.4","132.6","23.","1","266.8","23","ruk","2023","1",120,142,"Ruka"
"1407","KUBACKI Dawid","POL","12 MAR 1990","47","88.3","133.0","83.4","18.0","18.5","18.5","19.0","18.5","55.5","13","","0.40","-4.7","134.2","22.","2","266.8","23","ruk","2023","1",120,142,"Ruka"
"1408","TANDE Daniel","NOR","24 JAN 1994","33","88.4","128.5","75.3","18.0","18.0","18.0","18.0","18.5","54.0","13","","-0.04","0.7","130.0","24.","1","266.3","23","ruk","2023","1",120,142,"Ruka"
"1409","TANDE Daniel","NOR","24 JAN 1994","33","88.4","133.5","84.3","18.0","18.0","18.5","18.0","18.0","54.0","13","","0.17","-2.0","136.3","20.","2","266.3","23","ruk","2023","1",120,142,"Ruka"
"1410","LINDVIK Marius","NOR","27 JUN 1998","32","87.8","127.5","73.5","18.0","18.5","17.5","18.0","18.5","54.5","13","","0.01","-0.1","127.9","27.","1","265.6","23","ruk","2023","1",120,142,"Ruka"
"1411","LINDVIK Marius","NOR","27 JUN 1998","32","87.7","133.0","83.4","18.0","18.0","18.0","18.5","18.5","54.5","13","","0.02","-0.2","137.7","18.","2","265.6","23","ruk","2023","1",120,142,"Ruka"
"1412","VALTO Kasperi","FIN","3 JUL 2003","2","88.3","137.5","91.5","18.0","17.5","18.0","18.5","17.5","53.5","13","","-0.16","2.8","147.8","9.","1","263.2","23","ruk","2023","1",120,142,"Ruka"
"1413","VALTO Kasperi","FIN","3 JUL 2003","2","87.7","120.0","60.0","17.0","17.5","16.5","17.0","16.5","50.5","12","5.3","0.03","-0.4","115.4","27.","2","263.2","23","ruk","2023","1",120,142,"Ruka"
"1414","FETTNER Manuel","AUT","17 JUN 1985","41","87.9","130.0","78.0","17.0","18.0","17.5","17.5","17.5","52.5","13","","-0.17","3.0","133.5","22.","1","260.9","23","ruk","2023","1",120,142,"Ruka"
"1415","FETTNER Manuel","AUT","17 JUN 1985","41","87.9","130.0","78.0","18.0","18.0","18.0","18.0","18.0","54.0","13","","0.39","-4.6","127.4","25.","2","260.9","23","ruk","2023","1",120,142,"Ruka"
"1416","NIKAIDO Ren","JPN","24 MAY 2001","18","87.8","130.5","78.9","17.5","17.5","17.0","17.5","17.0","52.0","13","","0.16","-1.9","129.0","26.","1","240.2","23","ruk","2023","1",120,142,"Ruka"
"1417","NIKAIDO Ren","JPN","24 MAY 2001","18","87.8","122.0","63.6","16.5","17.0","17.5","17.0","17.5","51.5","13","","0.33","-3.9","111.2","28.","2","240.2","23","ruk","2023","1",120,142,"Ruka"
"1418","INSAM Alex","ITA","19 DEC 1997","17","88.3","126.5","71.7","17.5","17.5","16.5","17.5","17.5","52.5","13","","0.00","0.0","124.2","30.","1","239.7","23","ruk","2023","1",120,142,"Ruka"
"1419","INSAM Alex","ITA","19 DEC 1997","17","88.2","121.5","62.7","17.0","17.0","17.0","17.0","17.0","51.0","13","","-0.10","1.8","115.5","26.","2","239.7","23","ruk","2023","1",120,142,"Ruka"
"1420","JELAR Ziga","SLO","22 OCT 1997","35","88.3","127.5","73.5","18.0","18.0","17.5","18.0","18.5","54.0","13","","0.25","-2.9","124.6","29.","1","233.3","23","ruk","2023","1",120,142,"Ruka"
"1421","JELAR Ziga","SLO","22 OCT 1997","35","88.2","120.0","60.0","17.0","17.0","17.0","16.5","16.5","50.5","13","","0.15","-1.8","108.7","29.","2","233.3","23","ruk","2023","1",120,142,"Ruka"
"1422","ZYLA Piotr","POL","16 JAN 1987","45","88.2","126.5","71.7","17.5","18.5","17.0","18.0","17.5","53.0","13","","0.09","-1.1","123.6","31.","1","123.6","23","ruk","2023","1",120,142,"Ruka"
"1423","ZNISZCZOL Aleksander","POL","8 MAR 1994","24","88.1","125.0","69.0","16.5","17.5","17.5","17.5","17.0","52.0","13","","0.01","-0.1","120.9","32.","1","120.9","23","ruk","2023","1",120,142,"Ruka"
"1424","FORFANG Johann","NOR","4 JUL 1995","36","87.9","124.0","67.2","17.0","17.0","17.5","17.0","17.0","51.0","13","","0.07","-0.8","117.4","33.","1","117.4","23","ruk","2023","1",120,142,"Ruka"
"1425","WASEK Pawel","POL","2 JUN 1999","25","88.2","118.5","57.3","17.0","17.0","17.0","17.5","17.0","51.0","13","","-0.29","5.1","113.4","34.","1","113.4","23","ruk","2023","1",120,142,"Ruka"
"1426","CECON Francesco","ITA","13 NOV 2001","3","87.9","118.5","57.3","16.0","16.0","16.0","16.5","16.0","48.0","13","","-0.28","4.9","110.2","35.","1","110.2","23","ruk","2023","1",120,142,"Ruka"
"1427","BRESADOLA Giovanni","ITA","17 FEB 2001","23","88.2","120.0","60.0","17.0","17.5","16.5","17.0","16.5","50.5","13","","0.04","-0.5","110.0","36.","1","110.0","23","ruk","2023","1",120,142,"Ruka"
"1428","NAITO Tomofumi","JPN","22 FEB 1993","6","88.1","116.0","52.8","16.5","17.0","17.0","17.0","16.5","50.5","13","","-0.25","4.4","107.7","37.","1","107.7","23","ruk","2023","1",120,142,"Ruka"
"1429","VILLUMSTAD Fredrik","NOR","21 MAR 1999","9","87.9","120.0","60.0","17.0","17.5","17.0","17.0","17.0","51.0","13","","0.32","-3.7","107.3","38.","1","107.3","23","ruk","2023","1",120,142,"Ruka"
"1430","CAMPREGHER Andrea","ITA","20 JUN 2001","5","88.5","117.5","55.5","17.0","16.5","16.0","17.0","16.5","50.0","13","","-0.09","1.6","107.1","39.","1","107.1","23","ruk","2023","1",120,142,"Ruka"
"1431","SUNDAL Kristoffer","NOR","7 FEB 2001","29","88.0","115.0","51.0","16.5","17.0","17.0","17.0","17.0","51.0","13","","-0.13","2.3","104.3","40.","1","104.3","23","ruk","2023","1",120,142,"Ruka"
"1432","IPCIOGLU Fatih","TUR","28 SEP 1997","13","88.1","114.0","49.2","16.0","16.5","16.5","17.0","17.0","50.0","13","","-0.16","2.8","102.0","41.","1","102.0","23","ruk","2023","1",120,142,"Ruka"
"1433","BELSHAW Erik","USA","23 AUG 2004","14","87.9","114.5","50.1","15.5","16.0","16.5","15.5","16.0","47.5","13","","-0.14","2.5","100.1","42.","1","100.1","23","ruk","2023","1",120,142,"Ruka"
"1434","STOCH Kamil","POL","25 MAY 1987","37","87.8","113.5","48.3","16.5","17.0","17.0","17.0","17.5","51.0","13","","-0.02","0.4","99.7","43.","1","99.7","23","ruk","2023","1",120,142,"Ruka"
"1435","AHONEN Mico","FIN","27 NOV 2001","1","88.1","109.0","40.2","16.5","16.5","16.5","16.5","16.5","49.5","13","","-0.20","3.5","93.2","44.","1","93.2","23","ruk","2023","1",120,142,"Ruka"
"1436","PALOSAARI Vilho","FIN","20 JUL 2004","10","88.1","107.0","36.6","16.0","15.5","15.5","16.0","15.5","47.0","13","","-0.19","3.3","86.9","45.","1","86.9","23","ruk","2023","1",120,142,"Ruka"
"1437","URLAUB Andrew","USA","12 APR 2001","7","88.2","107.0","36.6","15.5","16.0","16.0","16.5","15.5","47.5","13","","-0.14","2.5","86.6","46.","1","86.6","23","ruk","2023","1",120,142,"Ruka"
"1438","KOBAYASHI Junshiro","JPN","11 JUN 1991","11","87.6","102.5","28.5","16.0","16.5","17.0","16.5","16.0","49.0","13","","-0.29","5.1","82.6","47.","1","82.6","23","ruk","2023","1",120,142,"Ruka"
"1439","AIGRO Artti","EST","29 AUG 1999","15","87.5","106.5","35.7","15.0","15.5","16.0","15.0","15.0","45.5","13","","0.04","-0.5","80.7","48.","1","80.7","23","ruk","2023","1",120,142,"Ruka"
"1440","NOUSIAINEN Eetu","FIN","29 APR 1997","12","88.4","97.5","19.5","15.0","15.0","15.5","14.5","14.5","44.5","13","","-0.15","2.6","66.6","49.","1","66.6","23","ruk","2023","1",120,142,"Ruka"
"1441","KRAFT Stefan","AUT","13 MAY 1993","54","87.3","148.5","111.3","19.5","19.5","19.5","19.5","19.0","58.5","12","16.3","-0.10","1.8","187.9","1.","1","363.5","24","ruk","2023","2",120,142,"Ruka"
"1442","KRAFT Stefan","AUT","13 MAY 1993","54","87.2","148.5","111.3","20.0","20.0","19.5","19.0","19.5","59.0","12","5.3","0.00","0.0","175.6","1.","2","363.5","24","ruk","2023","2",120,142,"Ruka"
"1443","HOERL Jan","AUT","16 OCT 1998","45","87.7","144.5","104.1","19.0","18.0","19.0","18.5","19.0","56.5","13","11.0","-0.17","3.0","174.6","3.","1","340.9","24","ruk","2023","2",120,142,"Ruka"
"1444","HOERL Jan","AUT","16 OCT 1998","45","87.0","145.0","105.0","19.0","18.5","18.5","18.0","19.0","56.0","12","5.3","0.00","0.0","166.3","2.","2","340.9","24","ruk","2023","2",120,142,"Ruka"
"1445","WELLINGER Andreas","GER","28 AUG 1995","51","88.0","143.5","102.3","18.5","18.0","18.5","18.5","18.5","55.5","12","16.3","0.27","-3.2","170.9","6.","1","334.1","24","ruk","2023","2",120,142,"Ruka"
"1446","WELLINGER Andreas","GER","28 AUG 1995","51","88.5","146.0","106.8","19.0","18.0","19.0","18.5","19.0","56.5","13","","0.01","-0.1","163.2","3.","2","334.1","24","ruk","2023","2",120,142,"Ruka"
"1447","PASCHKE Pius","GER","20 MAY 1990","53","87.1","143.0","101.4","19.0","18.5","18.5","18.0","19.0","56.0","12","16.3","0.19","-2.2","171.5","5.","1","333.8","24","ruk","2023","2",120,142,"Ruka"
"1448","PASCHKE Pius","GER","20 MAY 1990","53","87.1","142.0","99.6","19.0","18.5","18.0","19.0","18.5","56.0","12","5.3","-0.08","1.4","162.3","4.","2","333.8","24","ruk","2023","2",120,142,"Ruka"
"1449","LEYHE Stephan","GER","5 JAN 1992","52","87.9","145.0","105.0","19.0","19.0","19.0","18.5","19.0","57.0","12","16.3","0.29","-3.4","174.9","2.","1","327.9","24","ruk","2023","2",120,142,"Ruka"
"1450","LEYHE Stephan","GER","5 JAN 1992","52","87.6","137.0","90.6","18.5","18.5","18.5","18.0","18.5","55.5","12","5.3","-0.09","1.6","153.0","7.","2","327.9","24","ruk","2023","2",120,142,"Ruka"
"1451","PREVC Peter","SLO","20 SEP 1992","42","88.5","144.0","103.2","19.5","19.0","19.0","18.0","19.0","57.0","14","5.3","-0.08","1.4","166.9","10.","1","324.1","24","ruk","2023","2",120,142,"Ruka"
"1452","PREVC Peter","SLO","20 SEP 1992","42","87.8","140.0","96.0","19.5","19.0","18.5","19.0","19.0","57.0","13","","-0.24","4.2","157.2","5.","2","324.1","24","ruk","2023","2",120,142,"Ruka"
"1453","TSCHOFENIG Daniel","AUT","28 MAR 2002","50","87.3","141.0","97.8","19.0","18.5","18.5","18.0","18.5","55.5","12","16.3","0.08","-0.9","168.7","7.","1","319.5","24","ruk","2023","2",120,142,"Ruka"
"1454","TSCHOFENIG Daniel","AUT","28 MAR 2002","50","87.4","141.0","97.8","19.0","18.5","18.5","18.5","19.0","56.0","13","","0.26","-3.0","150.8","10.","2","319.5","24","ruk","2023","2",120,142,"Ruka"
"1455","ZAJC Timi","SLO","26 APR 2000","47","87.7","142.5","100.5","18.5","18.5","19.0","18.0","18.5","55.5","13","11.0","-0.06","1.1","168.1","8.","1","318.1","24","ruk","2023","2",120,142,"Ruka"
"1456","ZAJC Timi","SLO","26 APR 2000","47","87.3","140.0","96.0","19.0","18.0","18.0","18.0","18.5","54.5","13","","0.04","-0.5","150.0","11.","2","318.1","24","ruk","2023","2",120,142,"Ruka"
"1457","GEIGER Karl","GER","11 FEB 1993","44","88.3","141.0","97.8","18.5","18.5","18.5","18.5","18.5","55.5","13","11.0","-0.21","3.7","168.0","9.","1","317.5","24","ruk","2023","2",120,142,"Ruka"
"1458","GEIGER Karl","GER","11 FEB 1993","44","87.9","137.5","91.5","18.5","18.5","18.5","18.0","18.5","55.5","13","","-0.14","2.5","149.5","12.","2","317.5","24","ruk","2023","2",120,142,"Ruka"
"1459","HAYBOECK Michael","AUT","5 MAR 1991","46","88.1","139.0","94.2","18.5","18.0","18.5","18.0","18.5","55.0","13","11.0","-0.05","0.9","161.1","12.","1","313.2","24","ruk","2023","2",120,142,"Ruka"
"1460","HAYBOECK Michael","AUT","5 MAR 1991","46","87.9","137.0","90.6","18.5","18.5","18.5","18.5","18.5","55.5","13","","-0.34","6.0","152.1","8.","2","313.2","24","ruk","2023","2",120,142,"Ruka"
"1461","GRANERUD Halvor","NOR","29 MAY 1996","39","88.4","142.0","99.6","19.0","18.5","18.5","18.5","18.5","55.5","15","","-0.34","6.0","161.1","12.","1","313.2","24","ruk","2023","2",120,142,"Ruka"
"1462","GRANERUD Halvor","NOR","29 MAY 1996","39","86.9","139.5","95.1","19.5","19.0","18.5","18.0","19.0","56.5","13","","-0.03","0.5","152.1","8.","2","313.2","24","ruk","2023","2",120,142,"Ruka"
"1463","LANISEK Anze","SLO","20 APR 1996","40","88.8","144.5","104.1","19.5","19.5","19.0","19.0","19.5","58.0","15","","-0.20","3.5","165.6","11.","1","312.9","24","ruk","2023","2",120,142,"Ruka"
"1464","LANISEK Anze","SLO","20 APR 1996","40","87.6","135.5","87.9","18.5","18.0","18.0","17.5","18.5","54.5","13","","-0.28","4.9","147.3","14.","2","312.9","24","ruk","2023","2",120,142,"Ruka"
"1465","KOBAYASHI Ryoyu","JPN","8 NOV 1996","49","87.6","144.0","103.2","19.5","19.0","19.0","18.5","19.0","57.0","13","11.0","-0.17","3.0","174.2","4.","1","312.4","24","ruk","2023","2",120,142,"Ruka"
"1466","KOBAYASHI Ryoyu","JPN","8 NOV 1996","49","87.0","129.0","76.2","18.5","18.5","18.5","18.0","18.5","55.5","12","5.3","-0.07","1.2","138.2","18.","2","312.4","24","ruk","2023","2",120,142,"Ruka"
"1467","RAIMUND Philipp","GER","23 JUN 2000","48","88.1","135.5","87.9","18.0","17.5","18.0","17.0","18.0","53.5","13","11.0","-0.10","1.8","154.2","16.","1","310.1","24","ruk","2023","2",120,142,"Ruka"
"1468","RAIMUND Philipp","GER","23 JUN 2000","48","88.0","141.0","97.8","19.0","19.0","18.5","18.0","19.0","56.5","13","","-0.09","1.6","155.9","6.","2","310.1","24","ruk","2023","2",120,142,"Ruka"
"1469","DESCHWANDEN Gregor","SUI","27 FEB 1991","41","88.9","146.0","106.8","16.5","16.0","16.5","16.0","16.0","48.5","15","","-0.20","3.5","158.8","14.","1","301.4","24","ruk","2023","2",120,142,"Ruka"
"1470","DESCHWANDEN Gregor","SUI","27 FEB 1991","41","87.9","136.5","89.7","18.5","18.0","18.0","17.0","18.0","54.0","13","","0.09","-1.1","142.6","16.","2","301.4","24","ruk","2023","2",120,142,"Ruka"
"1471","PREVC Domen","SLO","4 JUN 1999","38","88.8","136.5","89.7","18.5","18.0","17.5","18.0","18.0","54.0","15","","-0.48","8.4","152.1","17.","1","299.9","24","ruk","2023","2",120,142,"Ruka"
"1472","PREVC Domen","SLO","4 JUN 1999","38","87.4","136.5","89.7","19.0","19.0","18.5","18.5","18.5","56.0","13","","-0.12","2.1","147.8","13.","2","299.9","24","ruk","2023","2",120,142,"Ruka"
"1473","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","25","88.2","143.5","102.3","19.0","18.5","19.0","18.0","18.5","56.0","15","","0.10","-1.2","157.1","15.","1","294.3","24","ruk","2023","2",120,142,"Ruka"
"1474","ZOGRAFSKI Vladimir","BUL","14 JUL 1993","25","86.9","132.0","81.6","18.5","18.0","18.0","17.5","18.5","54.5","13","","-0.06","1.1","137.2","19.","2","294.3","24","ruk","2023","2",120,142,"Ruka"
"1475","AALTO Antti","FIN","2 APR 1995","37","88.8","130.5","78.9","18.0","17.5","18.0","17.5","18.0","53.5","15","","-0.70","12.3","144.7","22.","1","289.6","24","ruk","2023","2",120,142,"Ruka"
"1476","AALTO Antti","FIN","2 APR 1995","37","87.7","137.5","91.5","18.5","18.0","18.0","18.5","18.5","55.0","13","","0.14","-1.6","144.9","15.","2","289.6","24","ruk","2023","2",120,142,"Ruka"
"1477","HAMANN Martin","GER","10 APR 1997","43","87.9","130.0","78.0","18.5","18.0","18.0","17.0","18.0","54.0","13","11.0","-0.15","2.6","145.6","21.","1","286.9","24","ruk","2023","2",120,142,"Ruka"
"1478","HAMANN Martin","GER","10 APR 1997","43","87.4","135.5","87.9","18.5","18.5","18.5","18.5","18.5","55.5","13","","0.18","-2.1","141.3","17.","2","286.9","24","ruk","2023","2",120,142,"Ruka"
"1479","SUNDAL Kristoffer","NOR","7 FEB 2001","20","88.2","138.0","92.4","19.0","18.5","18.5","18.0","18.5","55.5","15","","-0.22","3.9","151.8","18.","1","281.9","24","ruk","2023","2",120,142,"Ruka"
"1480","SUNDAL Kristoffer","NOR","7 FEB 2001","20","86.9","129.0","76.2","18.0","18.0","18.0","16.5","18.0","54.0","13","","0.01","-0.1","130.1","25.","2","281.9","24","ruk","2023","2",120,142,"Ruka"
"1481","ZYLA Piotr","POL","16 JAN 1987","15","88.6","135.5","87.9","18.5","17.5","18.0","18.0","18.0","54.0","15","","-0.31","5.4","147.3","20.","1","281.1","24","ruk","2023","2",120,142,"Ruka"
"1482","ZYLA Piotr","POL","16 JAN 1987","15","87.5","131.0","79.8","18.0","17.5","18.0","17.0","18.0","53.5","13","","-0.03","0.5","133.8","21.","2","281.1","24","ruk","2023","2",120,142,"Ruka"
"1483","TANDE Daniel","NOR","24 JAN 1994","33","88.8","134.0","85.2","19.0","18.0","18.0","18.0","18.0","54.0","15","","-0.68","11.9","151.1","19.","1","279.0","24","ruk","2023","2",120,142,"Ruka"
"1484","TANDE Daniel","NOR","24 JAN 1994","33","87.6","128.5","75.3","18.0","18.5","18.0","17.5","18.5","54.5","13","","0.16","-1.9","127.9","26.","2","279.0","24","ruk","2023","2",120,142,"Ruka"
"1485","KUBACKI Dawid","POL","12 MAR 1990","34","88.7","129.5","77.1","18.5","18.5","18.0","18.0","18.5","55.0","15","","-0.67","11.8","143.9","24.","1","277.6","24","ruk","2023","2",120,142,"Ruka"
"1486","KUBACKI Dawid","POL","12 MAR 1990","34","87.6","130.0","78.0","18.5","18.5","18.5","18.0","18.5","55.5","13","","-0.01","0.2","133.7","22.","2","277.6","24","ruk","2023","2",120,142,"Ruka"
"1487","BELSHAW Erik","USA","23 AUG 2004","10","88.0","129.0","76.2","18.0","17.5","18.0","18.5","18.0","54.0","15","","-0.33","5.8","136.0","28.","1","272.5","24","ruk","2023","2",120,142,"Ruka"
"1488","BELSHAW Erik","USA","23 AUG 2004","10","87.3","133.0","83.4","18.5","18.5","18.0","18.0","18.5","55.0","13","","0.16","-1.9","136.5","20.","2","272.5","24","ruk","2023","2",120,142,"Ruka"
"1489","AIGRO Artti","EST","29 AUG 1999","21","87.9","136.0","88.8","18.0","17.5","18.0","18.0","18.0","54.0","15","","-0.04","0.7","143.5","25.","1","270.0","24","ruk","2023","2",120,142,"Ruka"
"1490","AIGRO Artti","EST","29 AUG 1999","21","86.7","128.5","75.3","17.0","16.5","16.0","17.0","17.5","50.5","13","","-0.04","0.7","126.5","27.","2","270.0","24","ruk","2023","2",120,142,"Ruka"
"1491","FORFANG Johann","NOR","4 JUL 1995","1","88.0","129.5","77.1","17.5","17.5","18.0","17.5","18.0","53.0","15","","-0.32","5.6","135.7","29.","1","269.4","24","ruk","2023","2",120,142,"Ruka"
"1492","FORFANG Johann","NOR","4 JUL 1995","1","86.7","132.5","82.5","17.5","17.5","17.5","17.5","18.0","52.5","13","","0.11","-1.3","133.7","22.","2","269.4","24","ruk","2023","2",120,142,"Ruka"
"1493","KYTOSAHO Niko","FIN","18 DEC 1999","36","88.4","129.0","76.2","18.0","17.5","18.0","18.0","18.0","54.0","15","","-0.45","7.9","138.1","26.","1","268.7","24","ruk","2023","2",120,142,"Ruka"
"1494","KYTOSAHO Niko","FIN","18 DEC 1999","36","87.0","129.0","76.2","18.0","18.0","18.0","17.5","18.5","54.0","13","","-0.02","0.4","130.6","24.","2","268.7","24","ruk","2023","2",120,142,"Ruka"
"1495","BRESADOLA Giovanni","ITA","17 FEB 2001","8","88.2","133.0","83.4","17.5","17.5","17.5","18.0","17.5","52.5","15","","0.04","-0.5","135.4","30.","1","247.2","24","ruk","2023","2",120,142,"Ruka"
"1496","BRESADOLA Giovanni","ITA","17 FEB 2001","8","87.1","123.0","65.4","17.0","16.0","16.5","15.5","16.5","49.0","13","","0.22","-2.6","111.8","29.","2","247.2","24","ruk","2023","2",120,142,"Ruka"
"1497","JELAR Ziga","SLO","22 OCT 1997","26","88.7","132.5","82.5","17.5","17.5","18.0","17.0","18.0","53.0","15","","0.05","-0.6","134.9","31.","1","134.9","24","ruk","2023","2",120,142,"Ruka"
"1498","AIGNER Clemens","AUT","2 FEB 1993","35","88.8","126.5","71.7","18.0","18.0","18.0","17.5","17.5","53.5","15","","-0.54","9.5","134.7","32.","1","134.7","24","ruk","2023","2",120,142,"Ruka"
"1499","NAKAMURA Naoki","JPN","19 SEP 1996","24","88.1","130.5","78.9","19.0","18.0","18.0","17.5","18.0","54.0","15","","0.05","-0.6","132.3","33.","1","132.3","24","ruk","2023","2",120,142,"Ruka"
"1500","LINDVIK Marius","NOR","27 JUN 1998","32","88.3","122.0","63.6","17.5","17.0","17.0","17.0","17.5","51.5","15","","-0.88","15.4","130.5","34.","1","130.5","24","ruk","2023","2",120,142,"Ruka"
"1501","WASEK Pawel","POL","2 JUN 1999","14","88.4","128.5","75.3","18.0","17.5","17.5","17.5","18.0","53.0","15","","-0.10","1.8","130.1","35.","1","130.1","24","ruk","2023","2",120,142,"Ruka"
"1502","INSAM Alex","ITA","19 DEC 1997","27","88.7","131.0","79.8","17.0","16.0","17.0","16.0","17.0","50.0","15","","0.00","0.0","129.8","36.","1","129.8","24","ruk","2023","2",120,142,"Ruka"
"1503","PEIER Killian","SUI","28 MAR 1995","16","88.7","127.0","72.6","18.0","18.0","18.0","18.0","18.0","54.0","15","","-0.14","2.5","129.1","37.","1","129.1","24","ruk","2023","2",120,142,"Ruka"
"1504","CECON Francesco","ITA","13 NOV 2001","11","88.1","128.5","75.3","18.0","17.0","18.0","17.5","17.5","53.0","15","","-0.01","0.2","128.5","38.","1","128.5","24","ruk","2023","2",120,142,"Ruka"
"1505","AMMANN Simon","SUI","25 JUN 1981","29","88.9","121.5","62.7","17.0","17.0","17.0","17.0","17.5","51.0","15","","-0.64","11.2","124.9","39.","1","124.9","24","ruk","2023","2",120,142,"Ruka"
"1506","VALTO Kasperi","FIN","3 JUL 2003","31","88.5","117.5","55.5","17.0","15.5","17.0","16.0","17.0","50.0","15","","-0.86","15.1","120.6","40.","1","120.6","24","ruk","2023","2",120,142,"Ruka"
"1507","NIKAIDO Ren","JPN","24 MAY 2001","28","88.0","119.0","58.2","17.0","17.0","17.0","16.5","17.0","51.0","15","","-0.60","10.5","119.7","41.","1","119.7","24","ruk","2023","2",120,142,"Ruka"
"1508","NOUSIAINEN Eetu","FIN","29 APR 1997","18","88.9","120.5","60.9","17.5","17.0","17.0","17.0","17.5","51.5","15","","-0.23","4.0","116.4","42.","1","116.4","24","ruk","2023","2",120,142,"Ruka"
